#r(AU) rdot(AU/day) norm mean_accel
1.050000 -0.006000 11085 -0.400000
1.050000 -0.006000 11085 0.400000
1.050000 0.006000 11166 0.000000
1.050000 0.006000 11166 -0.400000
1.050000 0.006000 11166 0.400000
1.050000 0.006000 49563.000000 0.000000
1.050000 0.006000 49563.000000 -0.200000
1.050000 0.006000 49563.000000 0.200000
1.050000 0.006000 49563.000000 -0.400000
1.050000 0.006000 49563.000000 0.400000
1.050000 0.006000 49563.000000 -0.600000
1.050000 -0.006200 10800.000000 0.000000
1.050000 -0.006200 10800.000000 -0.200000
1.050000 -0.006200 10800.000000 0.200000
1.050000 -0.006200 10800.000000 -0.400000
1.050000 -0.006200 10800.000000 0.400000
1.050000 0.006200 49563.000000 0.000000
1.050000 0.006200 49563.000000 -0.200000
1.050000 0.006200 49563.000000 0.200000
1.050000 0.006200 49563.000000 -0.400000
1.050000 0.006200 49563.000000 0.400000
1.050000 0.006200 49563.000000 -0.600000
1.050000 -0.006400 10800.000000 0.000000
1.050000 -0.006400 10800.000000 -0.200000
1.050000 -0.006400 10800.000000 0.200000
1.050000 -0.006400 10800.000000 -0.400000
1.050000 -0.006400 10800.000000 0.400000
1.050000 0.006400 49563.000000 0.000000
1.050000 0.006400 49563.000000 -0.200000
1.050000 0.006400 49563.000000 0.200000
1.050000 0.006400 49563.000000 -0.400000
1.050000 0.006400 49563.000000 0.400000
1.050000 0.006400 49563.000000 -0.600000
1.050000 -0.006600 10800.000000 0.000000
1.050000 -0.006600 10800.000000 -0.200000
1.050000 -0.006600 10800.000000 0.200000
1.050000 -0.006600 10800.000000 -0.400000
1.050000 -0.006600 10800.000000 0.400000
1.050000 0.006600 49563.000000 0.000000
1.050000 0.006600 49563.000000 -0.200000
1.050000 0.006600 49563.000000 0.200000
1.050000 0.006600 49563.000000 -0.400000
1.050000 0.006600 49563.000000 0.400000
1.050000 0.006600 49563.000000 -0.600000
1.050000 -0.006800 10800.000000 0.000000
1.050000 -0.006800 10800.000000 -0.200000
1.050000 -0.006800 10800.000000 0.200000
1.050000 -0.006800 10800.000000 -0.400000
1.050000 -0.006800 10800.000000 0.400000
1.050000 0.006800 49563.000000 0.000000
1.050000 0.006800 49563.000000 -0.200000
1.050000 0.006800 49563.000000 0.200000
1.050000 0.006800 49563.000000 -0.400000
1.050000 0.006800 49563.000000 0.400000
1.050000 0.006800 49563.000000 -0.600000
1.050000 -0.007000 10800.000000 0.000000
1.050000 -0.007000 10800.000000 -0.200000
1.050000 -0.007000 10800.000000 0.200000
1.050000 -0.007000 10800.000000 -0.400000
1.050000 -0.007000 10800.000000 0.400000
1.050000 0.007000 49563.000000 0.000000
1.050000 0.007000 49563.000000 -0.200000
1.050000 0.007000 49563.000000 0.200000
1.050000 0.007000 49563.000000 -0.400000
1.050000 0.007000 49563.000000 0.400000
1.050000 0.007000 49563.000000 -0.600000
1.050000 -0.007200 10800.000000 0.000000
