L_true,dpa,L_meas
8.0,25.451477,17.927152633666992
10.0,5.1874313,12.57616138458252
10.0,9.937218,19.49915313720703
10.0,13.134399,12.599163055419922
10.0,12.42485,11.947766304016113
10.0,1.0646973,14.174863815307617
10.0,7.9687347,17.122180938720703
10.0,2.9762268,12.913766860961914
10.0,8.436157,12.543375968933105
10.0,3.750946,11.594846725463867
10.0,66.66441,19.193603515625
10.0,11.952881,18.31363296508789
10.0,34.824463,11.194014549255371
13.0,7.841034,20.173542022705078
13.0,3.9610138,16.142467498779297
13.0,7.1540375,17.35923194885254
13.0,12.638107,22.027612686157227
13.0,7.816803,15.31331729888916
13.0,16.182663,19.248720169067383
13.0,3.2146912,17.32274055480957
13.0,1.9934158,18.484512329101562
13.0,2.3156738,16.994659423828125
13.0,6.968811,18.420806884765625
13.0,5.8834457,13.485465049743652
13.0,1.3262024,20.40924835205078
17.0,0.7336807,23.206296920776367
17.0,0.019935608,21.878742218017578
17.0,28.640953,13.481947898864746
17.0,3.9127197,18.21245574951172
17.0,8.264229,22.038005828857422
17.0,0.71242523,22.014890670776367
17.0,6.2725677,21.026897430419922
17.0,1.2954102,20.762292861938477
17.0,2.4652405,21.46109390258789
17.0,58.5804,16.17241096496582
17.0,6.379013,21.88768196105957
22.0,84.02933,23.00363540649414
22.0,11.764923,17.105606079101562
22.0,2.542122,28.14920425415039
22.0,1.5326157,32.635128021240234
22.0,1.395958,31.288131713867188
22.0,2.3099213,28.083187103271484
22.0,1.1738663,26.80084800720215
22.0,2.153946,24.766210556030273
22.0,1.2718048,26.788623809814453
30.0,1.0079803,34.608646392822266
30.0,0.83584595,35.93098068237305
30.0,0.19598389,32.99949645996094
30.0,1.5968475,42.86151123046875
30.0,0.20256042,27.969799041748047
30.0,14.25914,7.0
30.0,0.92559814,35.715999603271484
30.0,0.7632141,36.64947509765625
30.0,0.4583969,34.062496185302734
30.0,0.65927887,31.81157875061035
30.0,0.46380615,30.80706787109375
6.0,16.804642,11.833934783935547
6.0,0.4033661,15.648632049560547
6.0,56.494633,11.131734848022461
6.0,0.7719269,11.795291900634766
6.0,67.97656,12.511658668518066
6.0,20.469292,12.419476509094238
6.0,14.8565445,11.153098106384277
6.0,0.068725586,12.14246940612793
6.0,5.1998825,13.394193649291992
6.0,43.31993,11.254035949707031
6.0,14.194336,11.85269546508789
6.0,2.0541687,13.991788864135742
8.0,18.50251,12.944247245788574
8.0,12.421402,13.996552467346191
8.0,0.8792496,13.848719596862793
8.0,20.026047,14.032230377197266
8.0,16.295357,11.0
8.0,0.38102722,17.437294006347656
8.0,7.502243,15.489295959472656
8.0,8.641808,11.189806938171387
8.0,27.624466,12.944228172302246
8.0,3.5270233,20.039508819580078
8.0,1.7531204,13.053182601928711
8.0,3.225151,14.802614212036133
10.0,8.586044,16.998491287231445
10.0,6.4780273,13.986504554748535
10.0,10.765198,13.427252769470215
10.0,3.716957,16.528396606445312
10.0,24.026611,13.185336112976074
10.0,4.7738037,13.99328327178955
10.0,0.8205185,15.173137664794922
10.0,37.5719,16.347402572631836
10.0,7.7329254,14.288965225219727
10.0,9.745514,22.65846061706543
10.0,10.399918,13.899495124816895
13.0,2.8234787,17.289981842041016
13.0,11.773499,17.330839157104492
13.0,7.0288925,21.087745666503906
13.0,8.454063,21.60879898071289
13.0,0.7336731,17.888893127441406
13.0,3.360794,18.025035858154297
13.0,0.20501709,15.12022876739502
13.0,3.7114716,17.928302764892578
13.0,3.5525665,21.076391220092773
17.0,2.0390625,23.010774612426758
17.0,2.3500443,22.59772300720215
17.0,2.697281,25.088523864746094
17.0,3.2286682,19.613300323486328
17.0,5.133911,18.422195434570312
17.0,2.5309143,21.88640594482422
17.0,12.207893,17.31155014038086
17.0,0.4583969,25.13540267944336
17.0,6.687317,25.60438346862793
17.0,1.5344238,21.189016342163086
22.0,0.01335907,26.135366439819336
22.0,5.093239,26.11347007751465
22.0,6.768135,33.04206466674805
22.0,1.2722168,30.07619857788086
22.0,4.55307,38.71302795410156
22.0,13.888947,16.55851936340332
22.0,0.96250916,25.953224182128906
22.0,1.614891,26.04525375366211
22.0,4.439041,21.71942138671875
22.0,6.402817,29.040555953979492
30.0,0.18882751,29.922439575195312
30.0,0.6687012,38.84370040893555
30.0,4.8903275,39.43593978881836
30.0,1.9859238,35.2994384765625
30.0,1.708435,41.45340347290039
30.0,4.90049,32.386680603027344
30.0,5.810364,33.10731506347656
30.0,2.077858,35.60737228393555
30.0,0.55366516,44.02401351928711
30.0,7.474739,36.00437545776367
30.0,0.8516922,35.3889045715332
6.0,19.892403,13.424433708190918
6.0,0.894516,12.500661849975586
6.0,0.8127136,12.092549324035645
6.0,62.989624,12.198183059692383
6.0,19.897758,13.217223167419434
6.0,7.257477,13.134530067443848
6.0,8.550232,11.280014038085938
6.0,9.786819,12.224302291870117
6.0,53.73932,12.935199737548828
6.0,16.11261,12.40781021118164
6.0,82.60007,11.831869125366211
6.0,31.727432,11.460866928100586
8.0,5.327965,14.326301574707031
8.0,1.6065674,12.537195205688477
8.0,26.385132,10.617196083068848
8.0,19.987328,13.031441688537598
8.0,7.743538,12.043098449707031
8.0,15.737984,11.18034839630127
8.0,14.642578,13.846562385559082
8.0,5.8597183,12.535282135009766
8.0,16.913132,11.589466094970703
8.0,8.600685,13.577042579650879
8.0,3.3033295,13.997320175170898
8.0,16.723557,11.078322410583496
10.0,17.910866,10.392313957214355
10.0,5.1164703,15.12703800201416
10.0,6.910736,14.250020980834961
10.0,34.156685,11.19573974609375
10.0,0.6501007,16.944637298583984
10.0,3.445633,12.602307319641113
10.0,4.057251,14.353306770324707
10.0,37.846497,10.37649154663086
10.0,9.288002,13.998093605041504
10.0,19.664734,12.931469917297363
10.0,4.1519623,16.159725189208984
10.0,22.859589,12.05622673034668
13.0,20.544632,23.846956253051758
13.0,1.3795166,15.399019241333008
13.0,25.483154,23.720184326171875
13.0,2.7415314,13.369407653808594
13.0,33.796234,14.752701759338379
13.0,13.416061,28.28533935546875
13.0,11.575417,16.444589614868164
13.0,7.225006,14.23144245147705
13.0,11.662918,23.67201805114746
13.0,2.5536041,14.739485740661621
13.0,18.666199,14.624958038330078
13.0,6.6552124,17.10770034790039
17.0,3.251236,23.17640495300293
17.0,7.888481,28.288955688476562
17.0,6.0770035,23.010883331298828
17.0,8.305748,20.278594970703125
17.0,5.0629272,19.788209915161133
17.0,4.8979874,22.432600021362305
17.0,5.9855957,21.004661560058594
17.0,1.7917862,24.859561920166016
17.0,5.503128,16.002182006835938
17.0,1.1309357,25.205791473388672
17.0,1.58078,19.294017791748047
22.0,1.8187027,23.67568016052246
22.0,5.7944183,31.145797729492188
22.0,0.9866562,28.467357635498047
22.0,4.798477,28.685226440429688
22.0,3.0978012,17.00874137878418
30.0,5.552086,18.14188575744629
30.0,4.354927,29.985422134399414
30.0,0.58161163,44.4150276184082
30.0,0.5570755,35.01443099975586
30.0,8.496307,14.24586009979248
30.0,0.42163086,30.419443130493164
30.0,1.0377731,15.309030532836914
30.0,6.9674683,36.01312255859375
6.0,23.41249,13.043051719665527
6.0,9.314468,15.179936408996582
6.0,83.60125,13.171825408935547
6.0,44.347137,15.57606315612793
6.0,28.00843,12.0
6.0,28.570587,13.820538520812988
6.0,44.207916,25.21012306213379
6.0,7.8095703,12.523701667785645
6.0,5.582634,12.381986618041992
6.0,7.531212,11.536067962646484
8.0,18.260773,12.94131088256836
8.0,48.46131,10.37649154663086
8.0,28.3947,10.598609924316406
